turbine,lead_day,flow,season_year,season,speed_bin,n,median_ratio,mean_power
t2,2,ENE/E,2025,winter,12+,8,0.9797514033680832,0.9845833333333334
t2,2,ENE/E,2026,winter,2–4,95,1.41195856873823,0.19242105263157896
t2,2,ENE/E,2026,winter,4–6,220,1.230665984342455,0.29753030303030303
t2,2,ENE/E,2026,winter,6–8,231,1.1623686723973257,0.5210461760461761
t2,2,ENE/E,2026,winter,8–10,127,1.2545863620629973,0.753005249343832
t2,2,ENE/E,2026,winter,10–12,36,1.3260058140355335,0.9767037037037036
t2,2,ENE/E,2026,winter,12+,4,1.1518916831268946,0.9766666666666667
t2,2,WSW/W,2024,autumn,2–4,89,1.4650043744531933,0.18906367041198505
t2,2,WSW/W,2024,autumn,4–6,157,1.0883575883575884,0.25717622080679403
t2,2,WSW/W,2024,autumn,6–8,129,0.9255663430420712,0.3101550387596899
t2,2,WSW/W,2024,autumn,8–10,111,0.9539049919484703,0.5506456456456457
t2,2,WSW/W,2024,autumn,10–12,120,0.9634817407503433,0.7527638888888889
t2,2,WSW/W,2024,autumn,12+,113,0.8636113404899532,0.8559734513274337
t2,2,WSW/W,2024,spring,2–4,126,1.2252809744935729,0.16263227513227513
t2,2,WSW/W,2024,spring,4–6,232,1.0112898272362632,0.2404382183908046
t2,2,WSW/W,2024,spring,6–8,193,0.9877049180327868,0.3719084628670121
t2,2,WSW/W,2024,spring,8–10,154,0.9499532975281049,0.5650757575757576
t2,2,WSW/W,2024,spring,10–12,119,0.9445843828715366,0.7464285714285714
t2,2,WSW/W,2024,spring,12+,203,0.8560661317772914,0.8513546798029558
t2,2,WSW/W,2024,summer,2–4,127,1.1891762452107277,0.17025590551181102
t2,2,WSW/W,2024,summer,4–6,228,0.8672342453194364,0.1813172514619883
t2,2,WSW/W,2024,summer,6–8,174,0.8208236038457024,0.2900670498084291
t2,2,WSW/W,2024,summer,8–10,113,0.8882921589688506,0.45390855457227136
t2,2,WSW/W,2024,summer,10–12,44,0.7626146759874943,0.5110606060606061
t2,2,WSW/W,2024,summer,12+,28,0.6215434443051577,0.5703571428571429
t2,2,WSW/W,2024,winter,2–4,43,1.550154320987654,0.11976744186046512
t2,2,WSW/W,2024,winter,4–6,44,1.350331458250365,0.25768939393939394
t2,2,WSW/W,2024,winter,6–8,21,1.0209580838323353,0.29714285714285715
t2,2,WSW/W,2024,winter,8–10,4,1.0159512642301296,0.62875
t2,2,WSW/W,2024,winter,10–12,3,0.36848713119899557,0.026666666666666672
t2,2,WSW/W,2025,autumn,2–4,144,1.153458860036947,0.11802083333333334
t2,2,WSW/W,2025,autumn,4–6,125,1.217456734386757,0.28258666666666665
t2,2,WSW/W,2025,autumn,6–8,107,1.1123511904761907,0.5076323987538941
t2,2,WSW/W,2025,autumn,8–10,96,1.1343885352924885,0.6776562500000001
t2,2,WSW/W,2025,autumn,10–12,65,0.9873843566021867,0.7708205128205128
t2,2,WSW/W,2025,autumn,12+,40,0.937089361277675,0.9090833333333335
t2,2,WSW/W,2025,spring,2–4,127,0.8862275449101799,0.13306430446194226
t2,2,WSW/W,2025,spring,4–6,154,1.0107140366085754,0.2640010822510822
t2,2,WSW/W,2025,spring,6–8,171,0.873971940009676,0.34941520467836257
t2,2,WSW/W,2025,spring,8–10,162,0.9124933528214776,0.5469855967078189
t2,2,WSW/W,2025,spring,10–12,133,0.9631255487269534,0.7396228070175439
t2,2,WSW/W,2025,spring,12+,137,0.8435374149659863,0.8781751824817519
t2,2,WSW/W,2025,summer,2–4,193,1.109809027777778,0.1518048359240069
t2,2,WSW/W,2025,summer,4–6,256,0.9679448865669769,0.24206510416666666
t2,2,WSW/W,2025,summer,6–8,235,0.9617213504517357,0.36857446808510635
t2,2,WSW/W,2025,summer,8–10,167,0.9207274011299436,0.47903193612774453
t2,2,WSW/W,2025,summer,10–12,62,0.8375158531993738,0.5929569892473119
t2,2,WSW/W,2025,summer,12+,51,0.7709880711231151,0.7718169934640523
t2,2,WSW/W,2025,winter,2–4,98,1.3837911900871458,0.09168367346938774
t2,2,WSW/W,2025,winter,4–6,111,1.0670426065162908,0.1915015015015015
t2,2,WSW/W,2025,winter,6–8,88,0.9582277604707512,0.36
t2,2,WSW/W,2025,winter,8–10,90,0.91504629368296,0.5241851851851852
t2,2,WSW/W,2025,winter,10–12,40,0.8601631003286305,0.7039583333333332
t2,2,WSW/W,2025,winter,12+,67,0.7891641641641641,0.8658208955223881
t2,2,WSW/W,2026,winter,2–4,108,1.5372615911189171,0.09566358024691358
t2,2,WSW/W,2026,winter,4–6,75,1.0193713450292399,0.19393333333333332
t2,2,WSW/W,2026,winter,6–8,68,1.1692361190425689,0.4734313725490196
t2,2,WSW/W,2026,winter,8–10,35,1.148815835984447,0.7065238095238094
t2,2,WSW/W,2026,winter,10–12,29,0.9334905660377358,0.7293103448275862
t2,2,WSW/W,2026,winter,12+,14,1.0310543407231187,0.8174761904761905
